1 1 22 8.72 2 18.12
1 2 24 22.76 3 141.46
1 3 28 19.22 4 179.12
1 4 20 17.20 1 72.20
1 5 18 8.72 1 28.62
1 6 35 27.36 3 175.26
1 7 38 16.05 4 65.95
1 8 44 15.17 4 75.16
2 1 32 16.05 3 35.95
2 2 34 19.77 4 161.42
2 3 36 30.53 5 159.06
2 4 40 16.13 5 114.13
2 5 25 14.23 2 50.13
2 6 23 12.805 2 32.70
2 7 20 13.11 1 54.36
2 8 41 14.05 4 46.45
3 1 28 77.45 3 1375
3 2 33 15.10 4 43.5
3 3 38 11.85 6 30
3 4 35 16.97 5 63
3 5 38 8.86 4 119
3 6 44 8.76 5 90
3 7 52 7.76 6 18
3 8 41 57.6 4 188
